COLLECTER_DIAMANT;;;;;;;;;
NBR_DIAMANT;10;;;;;;;;;
NB_LIG;22;;;;;;;;
NB_COL;40;;;;;;;;
A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;
A;T;T;T;T;T;T;V;T;T;D;T;R;V;T;T;T;T;T;R;T;R;T;T;T;T;T;T;T;V;T;T;T;T;R;T;T;T;T;A;
A;T;R;E;R;T;T;T;T;T;T;V;T;T;T;T;T;T;T;T;T;R;D;T;T;R;T;T;T;T;V;T;T;T;T;T;V;T;T;A;
A;T;T;T;T;T;T;T;T;T;T;V;T;T;V;T;T;T;T;T;R;T;R;T;T;R;T;T;T;T;T;T;T;T;R;T;T;T;T;A;
A;R;T;R;R;T;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;R;T;T;R;T;T;T;T;R;T;T;T;R;T;T;T;T;T;A;
A;R;T;V;R;T;T;T;T;T;T;T;T;T;R;R;T;T;R;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;R;T;R;V;T;A;
A;T;T;T;V;T;T;R;T;T;T;T;T;T;T;T;R;T;T;T;T;T;R;T;V;R;T;T;T;T;T;T;T;T;R;T;R;R;T;A;
A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;T;T;T;R;T;T;R;T;A;
A;T;V;T;T;T;R;T;T;D;T;V;T;T;R;T;R;T;T;T;T;T;T;T;T;T;T;D;T;R;V;T;T;T;T;T;T;R;T;A;
A;T;T;D;T;T;T;T;T;R;T;T;T;T;T;V;T;T;T;T;T;T;T;T;R;V;V;R;T;T;D;T;T;T;T;R;T;T;T;A;
A;T;T;T;R;T;T;R;T;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;R;T;R;T;T;R;T;T;T;T;T;T;T;T;A;
A;T;V;R;T;T;T;T;R;T;T;T;T;T;T;T;T;R;R;V;T;T;T;T;T;T;T;R;T;T;R;T;D;T;T;T;T;V;T;A;
A;T;R;T;T;V;T;T;R;T;V;V;T;T;T;T;T;R;T;R;D;T;T;D;T;T;T;T;R;T;T;T;R;T;T;D;T;R;T;A;
A;T;D;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;R;R;R;T;T;R;T;T;T;T;T;T;T;T;D;T;T;T;T;T;R;A;
A;T;T;T;T;T;T;T;T;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;
A;V;V;T;T;T;T;T;T;T;T;T;V;T;T;T;D;T;T;T;T;R;T;T;T;T;T;R;T;T;T;R;T;T;T;T;T;T;T;A;
A;R;R;T;T;T;T;T;T;T;T;T;R;R;T;T;R;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;R;T;R;V;T;T;S;A;
A;T;R;T;T;R;T;T;T;T;T;T;T;T;R;T;T;T;T;T;R;T;V;V;T;T;T;T;D;T;T;T;R;T;R;R;T;T;T;A;
A;T;T;T;T;R;D;T;T;V;T;T;T;T;T;T;T;T;R;T;T;T;T;T;T;R;T;R;D;T;T;T;T;T;T;R;T;T;T;A;
A;T;T;T;V;T;T;V;T;R;T;T;R;T;R;R;T;T;T;T;T;T;T;T;T;R;T;R;D;T;T;T;T;T;T;R;T;T;R;A;
A;T;D;T;T;T;T;R;T;T;T;T;T;V;T;T;T;T;T;T;T;T;T;V;T;R;T;T;R;T;R;T;T;T;T;T;T;R;T;A;
A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;
