COLLECTER_DIAMANT;;;;;;;;;
NBR_DIAMANT;1;;;;;;;;;
NB_LIG;17;;;;;;;;
NB_COL;15;;;;;;;;
A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;
A;E;R;R;R;R;R;R;V;V;R;V;R;V;A;
A;V;V;R;R;R;V;V;V;V;D;V;V;V;A;
A;V;V;V;R;V;R;R;R;R;R;V;R;V;A;
A;R;R;R;R;R;R;R;V;V;V;V;V;V;A;
A;V;V;V;R;V;V;V;V;V;V;V;V;V;A;
A;V;V;V;R;V;V;V;V;V;V;V;V;V;A;
A;V;V;V;V;R;R;R;R;R;R;V;V;V;A;
A;R;R;R;R;R;R;R;R;V;V;V;V;V;A;
A;V;R;R;R;R;R;R;R;R;V;V;V;V;A;
A;V;V;V;V;V;V;V;V;V;V;V;V;V;A;
A;V;V;V;V;V;V;V;V;V;V;V;V;V;A;
A;V;V;V;V;V;V;V;V;V;V;V;V;V;A;
A;V;V;V;V;V;V;V;V;V;V;V;V;V;S;
A;V;V;V;V;V;V;V;V;V;V;V;V;V;A;
A;V;V;V;V;V;V;V;V;V;V;V;V;V;A;
A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;
